Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Larkins, Micah",JR-3,Northwestern St.,10.02,3.6,SR-4,10.1,10.1
"Ewers, Andre",JR-3,Florida State,10.04,3.6,SR-4,10.06,10.06
"Gillespie, Cravon",JR-3,Oregon,10.05,2.9,SR-4,9.97,9.97
"Jefferson, Chris",JR-3,Sam Houston St.,10.08,3.6,SR-4,10.2,10.2
"Oduduru, Divine",SO-2,Texas Tech,10.1,1.4,JR-3,9.94,9.94
"Williams, Waseem",SO-2,Purdue,10.1,1.2,JR-3,10.2,10.2
"Quinn, Devin",JR-3,Illinois,10.11,3.4,SR-4,10.06,10.06
"Walter, Keitavious",JR-3,Alabama,10.12,0.9,SR-4,10.11,10.11
"Williams, Mustaqeem",JR-3,Tennessee,10.12,1.1,SR-4,10.08,10.08
"Willis, Maxwell",SO-2,Baylor,10.12,1.3,JR-3,10.21,10.21
"Burke, Mario",JR-3,Houston,10.13,-0.2,SR-4,9.95,9.95
"Lewis III, John",JR-3,Houston,10.13,3.5,SR-4,10.53,10.53
"Kemp, Demek",JR-3,South Carolina St.,10.15,2.9,SR-4,10.03,10.03
"Clark, Ryan",JR-3,Florida,10.16,2.1,SR-4,10.3,10.3
"Amoah, Joseph",SO-2,Coppin State,10.2,1.1,JR-3,10.09,10.09
"West, McKinely",JR-3,Southern Miss.,10.2,0.1,SR-4,10.13,10.13
"Tait, Emmanuel",SO-2,Samford,10.2,2.7,JR-3,10.6,10.6
"Charleston, Cravont",SO-2,North Carolina St.,10.21,-0.3,JR-3,10.17,10.17
"Thomas, Justin",JR-3,Jackson State,10.21,2.4,SR-4,10.39,10.39
"Rowe, Rodney",JR-3,N. Carolina A&T,10.22,1.9,SR-4,10.05,10.05
"Hudson, Andrew",JR-3,Texas Tech,10.26,0.8,SR-4,10.13,10.13
"Harrison, Eric",FR-1,Ohio State,10.28,-0.5,SO-2,10.26,10.26
"Virgil, Jalen",FR-1,Appalachian State,10.29,3.4,SO-2,10.3,10.3
"Barnum, Alexander",SO-2,USC,10.29,0.4,JR-3,10.42,10.42
"Walker, Jullane",SO-2,Kansas State,10.3,0.7,JR-3,10.35,10.35
"McConico, Kwantreyl",JR-3,Tennessee,10.3,1.2,SR-4,10.56,10.56
"Johnson, Josiah",JR-3,Citadel,10.3,2.9,SR-4,10.32,10.32
"Flournoy, Jaron",JR-3,LSU,10.32,1.9,SR-4,10.12,10.12
"DeMoss, Davon",JR-3,Memphis,10.32,0.2,SR-4,10.05,10.05
"Haraway, Darryl",JR-3,Florida State,10.32,1.1,SR-4,10.43,10.43
"Smith, Tyler",JR-3,McNeese State,10.32,3.2,SR-4,10.27,10.27
"Haynes, Deontre",JR-3,UT-Arlington,10.33,3.3,SR-4,10.29,10.29
"Comick, Jace",SO-2,Texas A&M,10.33,1.1,JR-3,10.22,10.22
"Sheffield, Joseph",FR-1,Oklahoma,10.33,1.3,SO-2,10.24,10.24
"Elam, Alex",JR-3,South Alabama,10.33,2.7,SR-4,10.75,10.75
